157.55.39.80 - - [27/Jun/2015:00:25:16 +0900] "GET /mboard/mContent.jsp?rcdno=279 HTTP/1.1" 200 7360
1.176.113.184 - - [27/Jun/2015:01:22:42 +0900] "GET /mboard/mMain.jsp HTTP/1.1" 200 11752
1.176.113.184 - - [27/Jun/2015:01:22:52 +0900] "GET /mboard/mContent.jsp?rcdno=453 HTTP/1.1" 200 7690
119.202.38.196 - - [27/Jun/2015:01:49:14 +0900] "GET /mboard/mMain.jsp HTTP/1.1" 200 11752
115.137.80.55 - - [27/Jun/2015:02:38:48 +0900] "GET /mboard/mMain.jsp HTTP/1.1" 200 11752
115.137.80.55 - - [27/Jun/2015:02:39:00 +0900] "GET /mboard/mMain.jsp HTTP/1.1" 200 11752
115.137.80.55 - - [27/Jun/2015:02:39:13 +0900] "GET /mboard/mContent.jsp?rcdno=454 HTTP/1.1" 200 6359
115.137.80.55 - - [27/Jun/2015:02:39:36 +0900] "GET /mboard/mContent.jsp?rcdno=453 HTTP/1.1" 200 7690
115.137.80.55 - - [27/Jun/2015:02:39:52 +0900] "GET /mboard/mMainEnd.jsp HTTP/1.1" 200 382042
115.137.80.55 - - [27/Jun/2015:02:40:13 +0900] "GET /mboard/mContent.jsp?rcdno=75 HTTP/1.1" 200 7313
115.137.80.55 - - [27/Jun/2015:02:40:19 +0900] "GET /mboard/mContent.jsp?rcdno=75 HTTP/1.1" 200 7313
115.137.80.55 - - [27/Jun/2015:02:40:33 +0900] "GET /mboard/mContent.jsp?rcdno=70 HTTP/1.1" 200 7390
115.137.80.55 - - [27/Jun/2015:02:41:06 +0900] "GET /mboard/mContent.jsp?rcdno=158 HTTP/1.1" 200 8715
115.137.80.55 - - [27/Jun/2015:02:41:29 +0900] "GET /mboard/mContent.jsp?rcdno=162 HTTP/1.1" 200 9609
115.137.80.55 - - [27/Jun/2015:02:41:37 +0900] "GET /mboard/mSearch.jsp HTTP/1.1" 200 7449
115.137.80.55 - - [27/Jun/2015:02:42:17 +0900] "POST /mboard/mSearchPro.jsp HTTP/1.1" 200 3182
115.137.80.55 - - [27/Jun/2015:02:42:20 +0900] "GET /mboard/mSearch.jsp HTTP/1.1" 200 7449
115.137.80.55 - - [27/Jun/2015:02:42:31 +0900] "POST /mboard/mSearchPro.jsp HTTP/1.1" 200 3175
115.137.80.55 - - [27/Jun/2015:02:42:34 +0900] "GET /mboard/mSearch.jsp HTTP/1.1" 200 7449
115.137.80.55 - - [27/Jun/2015:02:42:41 +0900] "POST /mboard/mSearchPro.jsp HTTP/1.1" 200 584266
115.137.80.55 - - [27/Jun/2015:02:42:54 +0900] "GET /mboard/mContent.jsp?rcdno=365 HTTP/1.1" 200 6775
115.137.80.55 - - [27/Jun/2015:02:43:02 +0900] "GET /mboard/mSearch.jsp HTTP/1.1" 200 7449
115.137.80.55 - - [27/Jun/2015:02:43:23 +0900] "POST /mboard/mSearchPro.jsp HTTP/1.1" 200 3171
115.137.80.55 - - [27/Jun/2015:02:43:26 +0900] "GET /mboard/mSearchPro.jsp?pagenum=2&gpa=6.0&scholarmoney=1&studentstatus=2&area=????&schoolname=&major= HTTP/1.1" 200 3171
115.137.80.55 - - [27/Jun/2015:02:43:27 +0900] "GET /mboard/mSearchPro.jsp?pagenum=3&gpa=6.0&scholarmoney=1&studentstatus=2&area=????&schoolname=&major= HTTP/1.1" 200 3171
115.137.80.55 - - [27/Jun/2015:02:43:28 +0900] "GET /mboard/mSearchPro.jsp?pagenum=4&gpa=6.0&scholarmoney=1&studentstatus=2&area=????&schoolname=&major= HTTP/1.1" 200 3171
115.137.80.55 - - [27/Jun/2015:02:43:30 +0900] "GET /mboard/mSearch.jsp HTTP/1.1" 200 7449
115.137.80.55 - - [27/Jun/2015:02:43:40 +0900] "POST /mboard/mSearchPro.jsp HTTP/1.1" 200 3174
115.137.80.55 - - [27/Jun/2015:02:43:43 +0900] "GET /mboard/Announcement.jsp HTTP/1.1" 200 2699
115.137.80.55 - - [27/Jun/2015:02:43:44 +0900] "GET /mboard/Announcement.jsp HTTP/1.1" 200 2699
115.137.80.55 - - [27/Jun/2015:02:44:20 +0900] "GET /mboard/Intro.jsp HTTP/1.1" 200 2597
115.137.80.55 - - [27/Jun/2015:02:44:34 +0900] "GET /mboard/Intro.jsp HTTP/1.1" 200 2597
125.191.147.50 - - [27/Jun/2015:08:15:10 +0900] "GET /mboard/mMain.jsp HTTP/1.1" 200 11752
125.191.147.50 - - [27/Jun/2015:08:15:25 +0900] "GET /mboard/mContent.jsp?rcdno=454 HTTP/1.1" 200 6359
125.191.147.50 - - [27/Jun/2015:08:15:44 +0900] "GET /mboard/mContent.jsp?rcdno=453 HTTP/1.1" 200 7690
180.229.43.7 - - [27/Jun/2015:09:16:26 +0900] "GET /mboard/mMain.jsp HTTP/1.1" 200 11752
175.223.19.175 - - [27/Jun/2015:11:22:31 +0900] "GET /mboard/mMain.jsp HTTP/1.1" 200 11752
175.223.19.175 - - [27/Jun/2015:11:22:54 +0900] "GET /mboard/mMain.jsp HTTP/1.1" 200 11752
